sentence,yngve_score,frazier_score,dependency_distance_score
"                         Proceedings of the 40th Annual Meeting of the Association for                 Computational Linguistics (ACL), Philadelphia, July 2002, pp.",4,0,2
263-270.,0,1,3
This paper introduces new learning algorithms for natural language processing based on the perceptron algorithm.,2,0.84375,3
"We show how the algorithms can be efciently applied to exponential sized representations of parse trees, such as the all subtrees (DOP) representation described by (Bod 1998), or a representation tracking all sub-fragments of a tagged sentence.",3,0.8409090909090909,4
We give experimental results showing signicant improvements on two tasks.,2,0.9090909090909091,1
"parsing Wall Street Journal text, and namedentity extraction from web data.",3,0.8076923076923077,2
"The perceptron algorithm is one of the oldest algorithms in machine learning, going back to (Rosenblatt 1958).",3,0.7380952380952381,2
"It is an incredibly simple algorithm to implement, and yet it has been shown to be competitive with more recent learning methods such as support vector machines  see (Freund & Schapire 1999) for its application to image classication, for example.",4,0.8555555555555555,4
This paper describes how the perceptron and voted perceptron algorithms can be used for parsing and tagging problems.,2,0.9736842105263158,3
"Crucially, the algorithms can be efciently applied to exponential sized representations of parse trees, such as the all subtrees (DOP) representation described by (Bod 1998), or a representation tracking all sub-fragments of a tagged sentence.",4,0.7558139534883721,4
"It might seem paradoxical to be able to efciently learn and apply a model with an exponential number of features.1 The key to our algorithms is the 1Although see (Goodman 1996) for an efcient algorithm for the DOP model, which we discuss in section 7 of this paper.",3,0.9433962264150944,3
kernel trick ((Cristianini and Shawe-Taylor 2000) discuss kernel methods at length).,4,0,3
We describe how the inner product between feature vectors in these representations can be calculated efciently using dynamic programming algorithms.,2,1.0238095238095237,3
This leads to polynomial time2 algorithms for training and applying the perceptron.,3,0,2
The kernels we describe are related to the kernels over discrete structures in (Haussler 1999; Lodhi et al.,2,1.0952380952380953,2
2001).,1,0,1
A previous paper  (Collins and Duffy 2001) showed improvements over a PCFG in parsing the ATIS task.,2,0.8,2
In this paper we show that the method scales to far more complex domains.,2,0.7,2
"In parsing Wall Street Journal text, the method gives a 5.1% relative reduction in error rate over the model of (Collins 1999).",3,0.7407407407407407,2
"In the second domain, detecting namedentity boundaries in web data, we show a 15.6% relative error reduction (an improvement in F-measure from 85.3% to 87.6%) over a state-of-the-art model, a maximum-entropy tagger.",4,0.6463414634146342,6
"This result is derived using a new kernel, for tagged sequences, described in this paper.",2,0.7777777777777778,3
"Both results rely on a new approach that incorporates the log-probability from a baseline model, in addition to the all-fragments features.",3,0.8695652173913043,4
This paper focuses on the task of choosing the correct parse or tag sequence for a sentence from a group of candidates for that sentence.,2,0.8461538461538461,3
The candidates might be enumerated by a number of methods.,1,0.9545454545454546,1
candidates from a baseline probabilistic model.,2,0,2
"the model of (Collins 1999) for parsing, and a maximumentropy tagger for named-entity recognition.",2,0,4
The choice of representation is central.,2,1.0714285714285714,1
what features should be used as evidence in choosing be tween candidates?,2,1.1153846153846154,2
We will use a function 	   to denote a  -dimensional feature vector that represents a tree or tagged sequence possibilities for .,2,1.0227272727272727,3
"An obvious example for parse trees is to have one component of  the counts of rules in the tree Given a representation, and two structures  for each rule in a context-free grammar that underlies the trees.",3,0.9605263157894737,3
This is the representation used by Stochastic Context-Free Grammars.,1,0.85,2
"The feature vector tracks , thus encoding the  and , the inner product between the structures can be  sufcient statistics for the SCFG.",3,0,2
"The idea of inner products between feature vectors is central to learning algorithms such as Support Vector Machines (SVMs), and is also central to the ideas in this paper.",3,0.9090909090909091,3
"Intuitively, the inner product is a similarity measure between objects.",2,0.7083333333333334,2
structures with similar feature vectors will have high values for   .,2,0.8636363636363636,2
"More formally, it has been observed that  many algorithms can be implemented using inner products between training examples alone, without direct access to the feature vectors themselves.",3,0.8833333333333333,3
"As we will see in this paper, this can be crucial for the efciency of learning with certain representations.",2,1.0238095238095237,2
This section formalizes the idea of linear models for parsing or tagging.,2,0.8076923076923077,1
The method is related to the boosting approach to ranking problems (Freund et al.,2,0.96875,2
"1998), the Markov Random Field methods of (Johnson et al.",2,0,3
"1999), and the boosting approaches for parsing in (Collins 2000).",2,0,2
In parsing the training examples are  !,2,1.1428571428571428,2
to  to denote  tree for that sentence.,1,1.125,2
"We discuss one method for setting the weights, the perceptron algorithm, in the next section.",2,0.8333333333333334,3
Figure 1(a) shows the perceptron algorithm applied to the ranking task.,2,0.8666666666666667,1
"The method assumes a training set as described in section 3.1, and a representation   of parse trees.",3,0.8947368421052632,3
"The algorithm maintains a parameter vector1  , which is initially set to be all zeros.",2,1.03125,2
"The algorithm then makes a pass over the training set, only updating the parameter vector when a mistake is made on an example.",2,0.82,3
"The parameter vector update is very simple, involving adding the difference of the offending examples representations Intuitively, this update has the effect of increasing the parameter values for features in the correct tree, and downweighting the parameter values for features in the competitor.",4,0.9148936170212766,3
"See (Cristianini and Shawe-Taylor 2000) for discussion of the perceptron algorithm, including an overview of various theorems justifying this way of setting the parameters.",3,1.0178571428571428,4
"Briey, the perceptron algorithm is guaranteed3 to nd a hyperplane that correctly classies all training points, if such a hyperplane exists (i.e., the data is separable).",3,0.921875,3
"Moreover, the number of mistakes made will be low, providing that the data is separable with large margin, and  3To nd such a hyperplane the algorithm must be run over the training set repeatedly until no mistakes are made.",2,0.9651162790697675,4
The algorithm in gure 1 includes just a single pass over the training set.,2,0.7,2
Figure 1. a) The perceptron algorithm for ranking problems.,1,1,5
b) The algorithm in dual form.,2,0,1
"(Freund & Schapire 1999) describe a renement of the perceptron algorithm, the voted perceptron.",4,0,3
They give theory which suggests that the voted perceptron is preferable in cases of noisy or unseparable data.,2,1.131578947368421,2
The training phase of the algorithm is unchanged  the change is in how the method is applied to test examples.,2,1.1428571428571428,2
(Freund & Schapire 1999) give theorems showing that the voted perceptron (a variant described below) generalizes well even given non-separable data.,3,0.9807692307692307,3
"Figure 1(b) shows an equivalent algorithm to the perceptron, an algorithm which we will call the dual form of the perceptron.",2,0.8846153846153846,2
The dual-form algorithm does not store a parameter vector 1  .,2,0.5,2
