sentence,yngve_score,frazier_score,dependency_distance_score,count,year
A New Statistical Parser Based on Bigram Lexical Dependencies  This paper describes a new statistical parser which is based on probabilities of dependencies between head-words in the parse tree.,2,0.9833333333333333,2,30,1996
Standard bigram probability estimation techniques are extended to calculate probabilities of dependencies between pairs of words.,2,1.0588235294117647,1,17,1996
Tests using Wall Street Journal data show that the method performs at least as well as SPATTER (Magerman 95; Jelinek et al.,4,1.0,3,25,1996
"94), which has the best published results for a statistical parser on this task.",2,0.6764705882352942,2,17,1996
"The simplicity of the approach means the model trains on 40,000 sentences in under 15 minutes.",2,0.7941176470588235,2,17,1996
With a beam search strategy parsing speed can be improved to over 200 sentences a minute with negligible loss in accuracy.,2,0.7954545454545454,2,22,1996
"Lexical information has been shown to be crucial for many parsing decisions, such as prepositional-phrase attachment (for example (Hindle and Rooth 93)).",3,0.8214285714285714,2,28,1996
"However, early approaches to probabilistic parsing (Pereira and Schabes 92; Magerman and Marcus 91; Briscoe and Carroll 93) conditioned probabilities on non-terminal labels and part of speech tags alone.",4,0.7857142857142857,4,35,1996
The SPATTER parser (Magerman 95; Jelinek et al.,3,0,2,11,1996
"94) does use lexical information, and recovers labeled constituents in Wall Street Journal text with above 84% accuracy  as far as we know the best published results on this task.",3,0.8529411764705882,3,34,1996
"This paper describes a new parser which is much simpler than SPATTER, yet performs at least as well when trained and tested on the same Wall Street Journal data.",3,0.8709677419354839,3,31,1996
The method uses lexical information directly by modeling head-modier1 relations between pairs of words.,2,0.9,2,15,1996
In this way it is similar to  The aim of a parser is to take a tagged sentence as input (for example Figure 1(a)) and produce a phrase-structure tree as output (Figure 1(b)).,3,0.9886363636363636,4,44,1996
A statistical approach to this problem consists of two components.,2,0.7727272727272727,1,11,1996
"First, the statistical model assigns a probability to every candidate parse tree for a sentence.",2,0.8235294117647058,2,17,1996
"Formally, given a sentence S and a tree T , the model estimates the conditional probability P (T |S).",3,0.6041666666666666,4,24,1996
The most likely parse under the model is then.,2,0.85,1,10,1996
"Second, the parser is a method for nding Tbest.",2,0.7727272727272727,1,11,1996
"This section describes the statistical model, while section 3 describes the parser.",2,0.7142857142857143,2,14,1996
The key to the statistical model is that any tree such as Figure 1(b) can be represented as a set of baseNPs2 and a set of dependencies as in Figure 1(c).,3,0.9210526315789473,3,38,1996
"We call the set of baseNPs B, and the set of dependencies D; Figure 1(d) shows B and D for this example.",3,0,3,28,1996
"For the purposes of our model, T = (B, D), and.",3,0,4,17,1996
S is the sentence with words tagged for part of speech.,1,1.2083333333333333,1,12,1996
"That is, S =< (w1, t1), (w2, t2)...(wn, tn) >.",5,1.06,2,25,1996
For POS tagging we use a maximum-entropy tagger described in (Ratnaparkhi 96).,2,0.7666666666666667,2,15,1996
"The tagger performs at around 97% accuracy on Wall Street Journal Text, and is trained on the rst 40,000 sentences of the Penn Treebank (Marcus et al.",4,0.7096774193548387,3,31,1996
93).,1,0,1,3,1996
"Given S and B, the reduced sentence S is dened as the subsequence of S which is formed by removing punctuation and reducing all baseNPs to their head-word alone.",2,0.8870967741935484,2,31,1996
"2A baseNP or minimal NP is a non-recursive NP, i.e.",2,0.7727272727272727,2,11,1996
none of its child constituents are NPs.,2,0.9375,1,8,1996
The term was rst used in (Ramshaw and Marcus 95).,2,1.0,2,13,1996
Figure 1.,1,1,1,3,1996
An overview of the representation used by the model.,2,0.85,1,10,1996
(a) The tagged sentence; (b) A candidate parse-tree (the correct one); (c) A dependency representation of (b).,4,0,2,30,1996
Square brackets enclose baseNPs (heads of baseNPs are marked in bold).,2,1.1428571428571428,2,14,1996
Arrows show modier  head dependencies.,1,0.75,2,6,1996
Section 2.1 describes how arrows are labeled with non-terminal triples from the parse-tree.,2,1.0,2,14,1996
"Non-head words within baseNPs are excluded from the dependency structure; (d) B, the set of baseNPs, and D, the set of dependencies, are extracted from (c).",3,0.8472222222222222,3,36,1996
Sections 2.1 to 2.4 describe the dependency model.,2,0.8333333333333334,1,9,1996
"Section 2.5 then describes the baseNP model, which uses bigram tagging techniques similar to (Ramshaw and Marcus 95; Church 88).",3,0.8,2,25,1996
The Mapping from Trees to Sets of Dependencies  The dependency model is limited to relationships between words in reduced sentences such as Example 1.,2,1.06,1,25,1996
The mapping from trees to dependency structures is central to the dependency model.,2,0.8928571428571429,2,14,1996
It is dened in two steps.,1,0.9285714285714286,1,7,1996
1.,0,1.25,0,2,1996
For each constituent P < C1...Cn > in the parse tree a simple set of rules3 identies which of the children Ci is the head-child of P .,3,0.7666666666666667,2,30,1996
"For example, NN would be identied as the head-child of NP <DET JJ JJ NN>, VP would be identied as the head-child of S <NP VP>.",3,0.96,2,25,1996
"Head-words propagate up through the tree, each parent receiving its head-word from its head-child.",2,0.78125,2,16,1996
"For example, in S <NP VP>, S gets its head-word, announced,  3The rules are essentially the same as in (Magerman 95; Jelinek et al.",4,0.8,3,30,1996
94).,1,0,1,3,1996
"These rules are also used to nd the head-word of baseNPs, enabling the mapping from S and B to S.  Figure 2.",2,0.8541666666666666,3,24,1996
Parse tree for the reduced sentence in Example 1.,2,0.95,1,10,1996
The head-child of each constituent is shown in bold.,2,0.95,1,10,1996
The head-word for each constituent is shown in parentheses.,2,0.95,1,10,1996
2.,0,1.25,0,2,1996
Head-modier relationships are now extracted from the tree in Figure 2.,2,0.875,1,12,1996
Figure 3 illustrates how each constituent contributes a set of dependency relationships.,2,1.0,2,13,1996
VBD is identied as the head-child of VP  <VBD NP NP>.,1,0.95,3,10,1996
"The head-words of the two NPs, resignation and yesterday, both modify the head-word of the VBD, announced.",5,0.6904761904761905,3,21,1996
"Dependencies are labeled by the modier non-terminal, NP in both of these cases, the parent non-terminal, VP, and nally the head-child non-terminal, VBD.",4,0.7413793103448276,4,29,1996
"The triple of nonterminals at the start, middle and end of the arrow specify the nature of the dependency relationship  <NP,S,VP> represents a subject-verb dependency, <PP,NP,NP> denotes prepositional phrase modication of an NP, and so on4.",4,0.9326923076923077,3,52,1996
Figure 3.,1,1,1,3,1996
Each constituent with n children (in this case n = 3) contributes n  1 dependencies.,3,0.9166666666666666,3,18,1996
"Each word in the reduced sentence, with the exception of the sentential head announced, modies exactly one other word.",3,0.7045454545454546,3,22,1996
"We use the notation  to state that the jth word in the reduced sentence is a modier to the hjth word, with relationship 5.",3,0.7692307692307693,3,26,1996
AF stands for arrow from.,1,1.0833333333333333,1,6,1996
"Rj is the triple Rj of labels at the start, middle and end of the arrow.",3,0.8611111111111112,2,18,1996
"For example, w1 = Smith in this sentence,  The triple can also be viewed as representing a semantic predicate-argument relationship, with the three elements being the type of the argument, result and functor respectively.",3,0.7948717948717948,4,39,1996
"This is particularly apparent in Categorial Grammar formalisms (Wood 93), which make an explicit link between dependencies and functional application.",2,0.875,2,24,1996
"2.2 Calculating Dependency Probabilities This section describes the way P (AF (j)|S, B) is estimated.",4,0.9130434782608695,2,23,1996
"The same sentence is very unlikely to appear both in training and test data, so we need to back-o from the entire sentence context.",3,0.6923076923076923,2,26,1996
"We believe that lexical information is crucial to attachment decisions, so it is natural to condition on the words and tags.",3,0.7608695652173914,2,23,1996
"Let V be the vocabulary of all words seen in training data, T be the set of all part-of-speech tags, and T RAIN be the training set, a set of reduced sentences.",3,0.8055555555555556,3,36,1996
We dene the following functions.,1,0.75,1,6,1996
